COUNTRY,AVG_YR_SCH
Afghanistan,2.0774932
Albania,10.008679
Algeria,6.120101
American Samoa,-1.0
Andorra,10.65
Angola,3.99
Anguilla,-1.0
Antarctica,-1.0
Antigua and Barbuda,11.143802
Argentina,10.91
Armenia,11.474999
Aruba,-1.0
Australia,12.17
Austria,12.01
Azerbaijan,10.57
Azores,-1.0
Bahamas,12.198545
Bahrain,8.889999
Bangladesh,5.19
Barbados,9.686
Belarus,11.665
Belgium,11.64
Belize,9.236744
Benin,2.6122
Bermuda,-1.0
Bhutan,2.956
Bolivia,8.676667
Bonaire,-1.0
Bosnia and Herzegovina,9.19
Botswana,9.79
Bouvet Island,-1.0
Brazil,7.38
British Indian Ocean Territory,-1.0
British Virgin Islands,-1.0
Brunei Darussalam,-1.0
Bulgaria,11.05
Burkina Faso,1.29
Burundi,2.03
Cabo Verde,-1.0
Cambodia,3.6
Cameroon,5.809855
Canada,13.662
Canarias,-1.0
Cayman Islands,-1.0
Central African Republic,3.7156115
Chad,1.996385
Chile,10.135
China,7.43826
Christmas Island,-1.0
Cocos Islands,-1.0
Colombia,7.99
Comoros,4.88261
Congo,8.039617
Congo DRC,-1.0
Cook Islands,-1.0
Costa Rica,8.75
Côte d'Ivoire,-1.0
Croatia,11.394281
Cuba,11.261034
Curacao,-1.0
Cyprus,11.88
Czech Republic,-1.0
Denmark,12.39
Djibouti,3.1437297
Dominica,9.293808
Dominican Republic,7.65
Ecuador,8.36
Egypt,8.332727
El Salvador,6.5266666
Equatorial Guinea,7.7874336
Eritrea,4.64385
Estonia,13.44
Eswatini,7.016415
Ethiopia,2.324074
Falkland Islands,-1.0
Faroe Islands,-1.0
Fiji,10.213
Finland,12.6
France,11.23
French Guiana,-1.0
French Polynesia,-1.0
French Southern Territories,-1.0
Gabon,8.698
Gambia,3.6768813
Georgia,12.62
Germany,14.04
Ghana,5.8819504
Gibraltar,-1.0
Glorioso Islands,-1.0
Greece,10.6
Greenland,-1.0
Grenada,9.1788025
Guadeloupe,-1.0
Guam,-1.0
Guatemala,5.84
Guernsey,-1.0
Guinea,1.87
Guinea-Bissau,3.450539
Guyana,7.8413925
Haiti,5.129226
Heard Island and McDonald Islands,-1.0
Honduras,6.18
Hungary,11.77
Iceland,13.28
India,5.592734
Indonesia,7.8
Iran,10.12
Iraq,6.567189
Ireland,11.215
Isle of Man,-1.0
Israel,12.92
Italy,10.22
Jamaica,8.854521
Japan,12.5859995
Jersey,-1.0
Jordan,10.223508
Juan De Nova Island,-1.0
Kazakhstan,11.833142
Kenya,6.7865157
Kiribati,8.723512
Kuwait,6.875
Kyrgyzstan,11.358072
Laos,5.378414
Latvia,12.86
Lebanon,9.522727
Lesotho,6.527522
Liberia,4.5254827
Libya,7.805453
Liechtenstein,12.057116
Lithuania,12.8
Luxembourg,13.43
Madagascar,4.8871746
Madeira,-1.0
Malawi,5.1414537
Malaysia,10.146667
Maldives,5.9681163
Mali,1.8775
Malta,11.13
Marshall Islands,11.082893
Martinique,-1.0
Mauritania,4.213115
Mauritius,9.206379
Mayotte,-1.0
Mexico,8.4
Micronesia,-1.0
Moldova,11.7
Monaco,-1.0
Mongolia,10.472025
Montenegro,11.721497
Montserrat,-1.0
Morocco,5.152
Mozambique,3.0475
Myanmar,4.5349555
Namibia,6.8678255
Nauru,8.443652
Nepal,3.648298
Netherlands,12.09
New Caledonia,-1.0
New Zealand,13.28
Nicaragua,8.824556
Niger,1.5086367
Nigeria,6.563106
Niue,-1.0
Norfolk Island,-1.0
North Korea,-1.0
North Macedonia,10.544065
Northern Mariana Islands,-1.0
Norway,12.71
Oman,9.344
Pakistan,5.16
Palau,12.878922
Palestinian Territory,-1.0
Panama,9.84
Papua New Guinea,4.597153
Paraguay,8.25
Peru,9.15
Philippines,8.907499
Pitcairn,-1.0
Poland,12.84
Portugal,8.87
Puerto Rico,-1.0
Qatar,9.72
Réunion,-1.0
Romania,10.86
Russian Federation,-1.0
Rwanda,4.06
Saba,-1.0
Saint Barthelemy,-1.0
Saint Eustatius,-1.0
Saint Helena,-1.0
Saint Kitts and Nevis,10.600976
Saint Lucia,8.391666
Saint Martin,-1.0
Saint Pierre and Miquelon,-1.0
Saint Vincent and the Grenadines,10.565578
Samoa,11.575675
San Marino,10.3706255
Sao Tome and Principe,5.5059457
Saudi Arabia,9.8
Senegal,2.655935
Serbia,10.72
Seychelles,10.955847
Sierra Leone,3.4245
Singapore,11.22
Sint Maarten,-1.0
Slovakia,12.44
Slovenia,12.43
Solomon Islands,5.66468
Somalia,-1.0
South Africa,10.15
South Georgia and South Sandwich Islands,-1.0
South Korea,12.024
South Sudan,5.73
Spain,9.72
Sri Lanka,10.502857
Sudan,3.522
Suriname,8.144321
Svalbard,-1.0
Sweden,12.29
Switzerland,13.64
Syria,6.2136197
Tajikistan,11.310588
Tanzania,5.4790463
Thailand,8.046666
Timor-Leste,-1.0
Togo,4.24929
Tokelau,-1.0
Tonga,10.894276
Trinidad and Tobago,10.68166
Tunisia,6.97
Turkiye,-1.0
Turkmenistan,10.830803
Turks and Caicos Islands,-1.0
Tuvalu,9.937046
Uganda,5.509925
Ukraine,11.2364435
United Arab Emirates,10.503636
United Kingdom,12.89
United States,13.22
United States Minor Outlying Islands,-1.0
Uruguay,8.61
US Virgin Islands,-1.0
Uzbekistan,11.34
Vanuatu,6.4606733
Vatican City,-1.0
Venezuela,9.51
Vietnam,7.99
Wallis and Futuna,-1.0
Yemen,3.7883198
Zambia,6.665157
Zimbabwe,8.11
