COUNTRY,INCOME
Afghanistan,-1.0
Albania,2742.93361073877
Algeria,2344.23095816995
American Samoa,-1.0
Andorra,-1.0
Angola,1377.04750503861
Anguilla,-1.0
Antarctica,-1.0
Antigua and Barbuda,-1.0
Argentina,4876.98577547155
Armenia,1871.85388833285
Aruba,21180.0594754113
Australia,28348.2066374157
Austria,33992.1804344707
Azerbaijan,1378.44816504529
Azores,-1.0
Bahamas,-1.0
Bahrain,13343.3473441481
Bangladesh,472.399016981675
Barbados,13035.7923066674
Belarus,3274.49139349025
Belgium,32327.9315602045
Belize,4130.16074931148
Benin,701.27947704401
Bermuda,-1.0
Bhutan,1157.68613083794
Bolivia,943.701416180688
Bonaire,-1.0
Bosnia and Herzegovina,2937.61875382251
Botswana,3850.60083072139
Bouvet Island,-1.0
Brazil,4830.41055307377
British Indian Ocean Territory,-1.0
British Virgin Islands,-1.0
Brunei Darussalam,20105.5534720714
Bulgaria,3734.94184005398
Burkina Faso,418.271359588533
Burundi,101.70743593661
Cabo Verde,1892.21415673918
Cambodia,476.706205226609
Cameroon,961.633918210079
Canada,33132.7886306989
Canarias,-1.0
Cayman Islands,-1.0
Central African Republic,308.219012316995
Chad,380.39834073812
Chile,6177.90916376771
China,1700.97400565712
Christmas Island,-1.0
Cocos Islands,-1.0
Colombia,3038.60580827135
Comoros,1071.02622417173
Congo,-1.0
Congo DRC,-1.0
Cook Islands,-1.0
Costa Rica,4777.9395734418
Côte d'Ivoire,-1.0
Croatia,9551.54968457016
Cuba,3740.40995273095
Curacao,-1.0
Cyprus,22178.787109375
Czech Republic,-1.0
Denmark,43212.5561727381
Djibouti,869.148527097657
Dominica,4979.27632733532
Dominican Republic,3629.33292358589
Ecuador,2311.74747405647
Egypt,-1.0
El Salvador,2382.61781916208
Equatorial Guinea,3103.03957606856
Eritrea,396.743791909945
Estonia,10243.9726301284
Eswatini,2645.87457174315
Ethiopia,136.165114368748
Falkland Islands,-1.0
Faroe Islands,-1.0
Fiji,2987.4294710273
Finland,34313.9569442522
France,31191.939103324
French Guiana,-1.0
French Polynesia,-1.0
French Southern Territories,-1.0
Gabon,3095.18243200169
Gambia,-1.0
Georgia,1774.220478202
Germany,30794.4617063347
Ghana,741.165374425206
Gibraltar,-1.0
Glorioso Islands,-1.0
Greece,20786.2970200861
Greenland,-1.0
Grenada,-1.0
Guadeloupe,-1.0
Guam,-1.0
Guatemala,1920.23269584754
Guernsey,-1.0
Guinea,374.853677347461
Guinea-Bissau,335.277190779933
Guyana,2733.50918611166
Haiti,786.205596386632
Heard Island and McDonald Islands,-1.0
Honduras,1254.39192181879
Hungary,8913.27331223339
Iceland,-1.0
India,698.213955206732
Indonesia,1113.10839668185
Iran,-1.0
Iraq,1590.41098817599
Ireland,39722.04914536
Isle of Man,-1.0
Israel,18552.8636737514
Italy,28211.9089055601
Jamaica,3797.72133127971
Japan,28494.955449886
Jersey,-1.0
Jordan,2251.4658617969
Juan De Nova Island,-1.0
Kazakhstan,2838.76119569411
Kenya,581.719839377265
Kiribati,1462.6429509993
Kuwait,41054.7797484507
Kyrgyzstan,-1.0
Laos,-1.0
Latvia,7276.71282395309
Lebanon,3895.90674754671
Lesotho,1072.74068777147
Liberia,180.679466579976
Libya,7050.5711391169
Liechtenstein,-1.0
Lithuania,7914.20036424818
Luxembourg,64252.3925829074
Madagascar,274.264187460352
Madeira,-1.0
Malawi,248.508442903298
Malaysia,4322.18133344055
Maldives,4372.89873870996
Mali,415.616335587245
Malta,-1.0
Marshall Islands,-1.0
Martinique,-1.0
Mauritania,1020.78223909115
Mauritius,5168.70654983895
Mayotte,-1.0
Mexico,7195.6337665333
Micronesia,-1.0
Moldova,1133.87793272322
Monaco,-1.0
Mongolia,1003.61435383359
Montenegro,4076.38935751579
Montserrat,-1.0
Morocco,1990.34460449219
Mozambique,362.559525156455
Myanmar,183.879137588946
Namibia,3439.06495411414
Nauru,-1.0
Nepal,328.045958626438
Netherlands,37261.5560173229
New Caledonia,-1.0
New Zealand,20882.7727176384
Nicaragua,1109.40427205016
Niger,349.324869307932
Nigeria,1336.14348433488
Niue,-1.0
Norfolk Island,-1.0
North Korea,-1.0
North Macedonia,2741.82575774019
Northern Mariana Islands,-1.0
Norway,57640.6815408474
Oman,8478.24843311912
Pakistan,672.93845184746
Palau,-1.0
Palestinian Territory,-1.0
Panama,4596.45615617308
Papua New Guinea,800.762613946603
Paraguay,1952.54580560553
Peru,2455.77696441398
Philippines,1381.08740907258
Pitcairn,-1.0
Poland,7543.10852292025
Portugal,16057.5442472322
Puerto Rico,-1.0
Qatar,42825.1091104195
Réunion,-1.0
Romania,4513.14597691315
Russian Federation,5363.662109375
Rwanda,302.97730854156
Saba,-1.0
Saint Barthelemy,-1.0
Saint Eustatius,-1.0
Saint Helena,-1.0
Saint Kitts and Nevis,-1.0
Saint Lucia,-1.0
Saint Martin,-1.0
Saint Pierre and Miquelon,-1.0
Saint Vincent and the Grenadines,-1.0
Samoa,2209.88329369011
San Marino,-1.0
Sao Tome and Principe,769.361187416807
Saudi Arabia,13468.3051958466
Senegal,902.656989635832
Serbia,3630.39930303821
Seychelles,10718.147833945
Sierra Leone,282.079024088001
Singapore,27931.8420257409
Sint Maarten,-1.0
Slovakia,-1.0
Slovenia,15741.0180550202
Solomon Islands,1130.13047029652
