COUNTRY,AVG_YR_SCH
Afghanistan,1.7427535
Albania,9.28
Algeria,6.29
American Samoa,-1.0
Andorra,10.469999
Angola,3.7475958
Anguilla,-1.0
Antarctica,-1.0
Antigua and Barbuda,10.265939
Argentina,10.41
Armenia,10.98
Aruba,-1.0
Australia,11.94
Austria,11.47
Azerbaijan,10.59
Azores,-1.0
Bahamas,11.696
Bahrain,8.098888
Bangladesh,4.96
Barbados,9.599
Belarus,11.097346
Belgium,11.18
Belize,9.506
Benin,2.5361
Bermuda,-1.0
Bhutan,-1.0
Bolivia,7.2
Bonaire,-1.0
Bosnia and Herzegovina,6.900815
Botswana,8.634
Bouvet Island,-1.0
Brazil,6.67
British Indian Ocean Territory,-1.0
British Virgin Islands,-1.0
Brunei Darussalam,-1.0
Bulgaria,10.59
Burkina Faso,1.0242857
Burundi,2.43
Cabo Verde,-1.0
Cambodia,4.03
Cameroon,4.06
Canada,13.416
Canarias,-1.0
Cayman Islands,-1.0
Central African Republic,3.1244502
Chad,1.704
Chile,10.11
China,6.8719997
Christmas Island,-1.0
Cocos Islands,-1.0
Colombia,7.32
Comoros,3.9729307
Congo,7.542981
Congo DRC,-1.0
Cook Islands,-1.0
Costa Rica,8.29
Côte d'Ivoire,-1.0
Croatia,10.777
Cuba,10.968
Curacao,-1.0
Cyprus,11.28
Czech Republic,-1.0
Denmark,12.88
Djibouti,2.2934039
Dominica,8.581282
Dominican Republic,7.193333
Ecuador,7.73
Egypt,6.898182
El Salvador,6.03
Equatorial Guinea,7.1571403
Eritrea,4.6885
Estonia,13.25
Eswatini,5.2984633
Ethiopia,2.0575001
Falkland Islands,-1.0
Faroe Islands,-1.0
Fiji,9.379
Finland,12.33
France,10.65
French Guiana,-1.0
French Polynesia,-1.0
French Southern Territories,-1.0
Gabon,7.31
Gambia,2.965825
Georgia,12.268
Germany,13.76
Ghana,5.639993
Gibraltar,-1.0
Glorioso Islands,-1.0
Greece,10.1
Greenland,-1.0
Grenada,8.904956
Guadeloupe,-1.0
Guam,-1.0
Guatemala,4.0333333
Guernsey,-1.0
Guinea,1.5528572
Guinea-Bissau,2.5660121
Guyana,6.980696
Haiti,4.5433707
Heard Island and McDonald Islands,-1.0
Honduras,5.1075
Hungary,11.565001
Iceland,12.74
India,4.8490963
Indonesia,7.07
Iran,9.39
Iraq,6.2462525
Ireland,11.423333
Isle of Man,-1.0
Israel,12.42
Italy,9.65
Jamaica,8.1895
Japan,12.441
Jersey,-1.0
Jordan,9.52
Juan De Nova Island,-1.0
Kazakhstan,11.265
Kenya,6.2336526
Kiribati,8.196083
Kuwait,6.43
Kyrgyzstan,10.8029995
Laos,4.829463
Latvia,12.35
Lebanon,8.251818
Lesotho,5.54
Liberia,4.040537
Libya,6.962
Liechtenstein,11.5149975
Lithuania,12.3
Luxembourg,12.22
Madagascar,4.612936
Madeira,-1.0
Malawi,4.2296586
Malaysia,9.0675
Maldives,4.334529
Mali,1.672
Malta,10.01
Marshall Islands,-1.0
Martinique,-1.0
Mauritania,3.6611347
Mauritius,7.914546
Mayotte,-1.0
Mexico,7.95
Micronesia,-1.0
Moldova,11.38
Monaco,-1.0
Mongolia,9.84
Montenegro,10.965
Montserrat,-1.0
Morocco,4.06
Mozambique,2.2898846
Myanmar,3.5405922
Namibia,6.28762
Nauru,7.8013644
Nepal,3.364
Netherlands,11.91
New Caledonia,-1.0
New Zealand,13.348
Nicaragua,7.7996993
Niger,1.4669241
Nigeria,6.15665
Niue,-1.0
Norfolk Island,-1.0
North Korea,-1.0
North Macedonia,8.832032
Northern Mariana Islands,-1.0
Norway,12.48
Oman,7.99
Pakistan,4.53
Palau,12.529405
Palestinian Territory,-1.0
Panama,9.0
Papua New Guinea,3.911812
Paraguay,7.39
Peru,8.19
Philippines,8.71
Pitcairn,-1.0
Poland,12.17
Portugal,7.78
Puerto Rico,-1.0
Qatar,9.59
Réunion,-1.0
Romania,10.67
Russian Federation,-1.0
Rwanda,3.4756715
Saba,-1.0
Saint Barthelemy,-1.0
Saint Eustatius,-1.0
Saint Helena,-1.0
Saint Kitts and Nevis,9.168629
Saint Lucia,8.188948
Saint Martin,-1.0
Saint Pierre and Miquelon,-1.0
Saint Vincent and the Grenadines,10.047644
Samoa,11.452001
San Marino,9.758358
Sao Tome and Principe,5.112732
Saudi Arabia,8.471111
Senegal,1.88
Serbia,10.24
Seychelles,10.662924
Sierra Leone,3.2538002
Singapore,10.49
Sint Maarten,-1.0
Slovakia,11.828
Slovenia,11.91
Solomon Islands,5.4119825
Somalia,-1.0
South Africa,9.22
South Georgia and South Sandwich Islands,-1.0
South Korea,10.9625
South Sudan,5.73
Spain,9.19
Sri Lanka,10.41
Sudan,3.05
Suriname,7.9017286
Svalbard,-1.0
Sweden,12.07
Switzerland,12.806565
Syria,6.19
Tajikistan,11.091764
Tanzania,4.99
Thailand,7.29
Timor-Leste,-1.0
Togo,3.324501
Tokelau,-1.0
Tonga,10.41
Trinidad and Tobago,10.3
Tunisia,6.31
Turkiye,-1.0
Turkmenistan,10.868444
Turks and Caicos Islands,-1.0
Tuvalu,9.233469
Uganda,5.15
Ukraine,11.439487
United Arab Emirates,9.494545
United Kingdom,12.810012
United States,12.99
United States Minor Outlying Islands,-1.0
Uruguay,8.37
US Virgin Islands,-1.0
Uzbekistan,10.788934
Vanuatu,5.856717
Vatican City,-1.0
Venezuela,8.14
Vietnam,7.329862
Wallis and Futuna,-1.0
Yemen,2.5671437
Zambia,6.118868
Zimbabwe,7.462
