COUNTRY,INCOME,AVG_YR_SCH
Afghanistan,-1.0,1.7427535
Albania,3830.34092728254,9.28
Algeria,3513.90528092024,6.29
American Samoa,-1.0,-1.0
Andorra,-1.0,10.469999
Angola,1516.98612035442,3.7475958
Anguilla,-1.0,-1.0
Antarctica,-1.0,-1.0
Antigua and Barbuda,-1.0,10.265939
Argentina,7545.53378699695,10.41
Armenia,3546.08423602177,10.98
Aruba,24097.9467110425,-1.0
Australia,38072.6751896914,11.94
Austria,43635.1099279055,11.47
Azerbaijan,3092.1880393251,10.59
Azores,-1.0,-1.0
Bahamas,-1.0,11.696
Bahrain,15798.9448977387,8.098888
Bangladesh,605.30816884109,4.96
Barbados,14762.8667368412,9.599
Belarus,5353.01906035806,11.097346
Belgium,40409.1579109223,11.18
Belize,3983.4384661934,9.506
Benin,922.457129343405,2.5361
Bermuda,-1.0,-1.0
Bhutan,1529.15259368357,-1.0
Bolivia,1381.63511437865,7.2
Bonaire,-1.0,-1.0
Bosnia and Herzegovina,4460.06215885733,6.900815
Botswana,4053.78176681978,8.634
Bouvet Island,-1.0,-1.0
Brazil,7170.01598838933,6.67
British Indian Ocean Territory,-1.0,-1.0
British Virgin Islands,-1.0,-1.0
Brunei Darussalam,26276.5888284849,-1.0
Bulgaria,5971.73998792042,10.59
Burkina Faso,564.584153863897,1.0242857
Burundi,99.4307718501921,2.43
Cabo Verde,3010.87131576705,-1.0
Cambodia,659.228334476388,4.03
Cameroon,1161.88982717806,4.06
Canada,37787.1470445015,13.416
Canarias,-1.0,-1.0
Cayman Islands,-1.0,-1.0
Central African Republic,400.173095929089,3.1244502
Chad,501.166244221582,1.704
Chile,7650.1610186608,10.11
China,2703.09678898876,6.8719997
Christmas Island,-1.0,-1.0
Cocos Islands,-1.0,-1.0
Colombia,4376.98725240738,7.32
Comoros,1339.11690269397,3.9729307
Congo,-1.0,7.542981
Congo DRC,-1.0,-1.0
Cook Islands,-1.0,-1.0
Costa Rica,6410.92582920371,8.29
Côte d'Ivoire,-1.0,-1.0
Croatia,13195.9447398868,10.777
Cuba,4228.49691594102,10.968
Curacao,-1.0,-1.0
Cyprus,30762.45703125,11.28
Czech Republic,-1.0,-1.0
Denmark,52156.6411717294,12.88
Djibouti,1025.51849157762,2.2934039
Dominica,5760.41318250683,8.581282
Dominican Republic,4634.8456121819,7.193333
Ecuador,3002.38903530129,7.73
Egypt,-1.0,6.898182
El Salvador,2642.60240748144,6.03
Equatorial Guinea,5588.67752642907,7.1571403
Eritrea,433.104128692169,4.6885
Estonia,14305.9191600524,13.25
Eswatini,2523.879048948,5.2984633
Ethiopia,229.111564691415,2.0575001
Falkland Islands,-1.0,-1.0
Faroe Islands,-1.0,-1.0
Fiji,3483.46924064844,9.379
Finland,44209.8634258462,12.33
France,38690.7406915146,10.65
French Guiana,-1.0,-1.0
French Polynesia,-1.0,-1.0
French Southern Territories,-1.0,-1.0
Gabon,4023.71330786928,7.31
Gambia,-1.0,2.965825
Georgia,2882.58018674388,12.268
Germany,38083.9347752768,13.76
Ghana,980.949161411893,5.639993
Gibraltar,-1.0,-1.0
Glorioso Islands,-1.0,-1.0
Greece,26298.8488357478,10.1
Greenland,-1.0,-1.0
Grenada,-1.0,8.904956
Guadeloupe,-1.0,-1.0
Guam,-1.0,-1.0
Guatemala,2376.82207295191,4.0333333
Guernsey,-1.0,-1.0
Guinea,590.065168691985,1.5528572
Guinea-Bissau,445.564058207816,2.5660121
Guyana,3584.96752977616,6.980696
Haiti,1055.32440169295,4.5433707
Heard Island and McDonald Islands,-1.0,-1.0
Honduras,1565.55540963517,5.1075
Hungary,12114.250129756,11.565001
Iceland,-1.0,12.74
India,850.574769256888,4.8490963
Indonesia,1522.69023336898,7.07
Iran,-1.0,9.39
Iraq,3568.36598351699,6.2462525
Ireland,44667.2992086158,11.423333
Isle of Man,-1.0,-1.0
Israel,24640.182329497,12.42
Italy,33583.5568799886,9.65
Jamaica,4363.19184475489,8.1895
Japan,31016.5669173376,12.441
Jersey,-1.0,-1.0
Jordan,3041.53688362848,9.52
Juan De Nova Island,-1.0,-1.0
Kazakhstan,4934.35718946415,11.265
Kenya,763.586805925497,6.2336526
Kiribati,1877.17035629495,8.196083
Kuwait,49271.7994826559,6.43
Kyrgyzstan,-1.0,10.8029995
Laos,-1.0,4.829463
Latvia,12648.5630682463,12.35
Lebanon,5096.210196868,8.251818
Lesotho,1102.2625568441,5.54
Liberia,245.42838973632,4.040537
Libya,9798.43334493738,6.962
Liechtenstein,-1.0,11.5149975
Lithuania,12654.5266429362,12.3
Luxembourg,82579.1775835058,12.22
Madagascar,435.437549757463,4.612936
Madeira,-1.0,-1.0
Malawi,311.157886630261,4.2296586
Malaysia,5932.68785894949,9.0675
Maldives,5242.38308861606,4.334529
Mali,558.072771633639,1.672
Malta,-1.0,10.01
Marshall Islands,-1.0,-1.0
Martinique,-1.0,-1.0
Mauritania,1303.06879169832,3.6611347
Mauritius,7248.64087314259,7.914546
Mayotte,-1.0,-1.0
Mexico,7868.49407274107,7.95
Micronesia,-1.0,-1.0
Moldova,2007.00225035806,11.38
Monaco,-1.0,-1.0
Mongolia,1639.62893644719,9.84
Montenegro,6625.94508277523,10.965
Montserrat,-1.0,-1.0
Morocco,2610.6884765625,4.06
Mozambique,478.810826026984,2.2898846
Myanmar,380.002166070703,3.5405922
Namibia,3550.82877185923,6.28762
Nauru,-1.0,7.8013644
Nepal,448.138918720226,3.364
Netherlands,45441.8743143044,11.91
New Caledonia,-1.0,-1.0
New Zealand,23867.8512093171,13.348
Nicaragua,1364.93152351323,7.7996993
Niger,495.430648432826,1.4669241
Nigeria,1745.06410914623,6.15665
Niue,-1.0,-1.0
Norfolk Island,-1.0,-1.0
North Korea,-1.0,-1.0
North Macedonia,3923.60396580524,8.832032
Northern Mariana Islands,-1.0,-1.0
Norway,72925.9561600789,12.48
Oman,13502.3699636102,7.99
Pakistan,798.431700794367,4.53
Palau,-1.0,12.529405
Palestinian Territory,-1.0,-1.0
Panama,6330.10185655299,9.0
Papua New Guinea,1109.97634838714,3.911812
Paraguay,3723.95356942442,7.39
Peru,3432.64940838226,8.19
Philippines,1905.92569413372,8.71
Pitcairn,-1.0,-1.0
Poland,11941.3174463888,12.17
Portugal,19952.0910300002,7.78
Puerto Rico,-1.0,-1.0
Qatar,53179.3846391975,9.59
Réunion,-1.0,-1.0
Romania,8526.60926118627,10.67
Russian Federation,9083.5810546875,-1.0
Rwanda,429.020446129538,3.4756715
Saba,-1.0,-1.0
Saint Barthelemy,-1.0,-1.0
Saint Eustatius,-1.0,-1.0
Saint Helena,-1.0,-1.0
Saint Kitts and Nevis,-1.0,9.168629
Saint Lucia,-1.0,8.188948
Saint Martin,-1.0,-1.0
Saint Pierre and Miquelon,-1.0,-1.0
Saint Vincent and the Grenadines,-1.0,10.047644
Samoa,2859.98268857993,11.452001
San Marino,-1.0,9.758358
Sao Tome and Principe,960.893340307901,5.112732
Saudi Arabia,16970.3321230237,8.471111
Senegal,1252.85642099516,1.88
Serbia,5846.68126472075,10.24
Seychelles,9006.17044511883,10.662924
Sierra Leone,390.682052059831,3.2538002
Singapore,32449.6034197398,10.49
Sint Maarten,-1.0,-1.0
Slovakia,-1.0,11.828
Slovenia,21884.9053071497,11.91
Solomon Islands,1293.66441466063,5.4119825
Somalia,-1.0,-1.0
South Africa,4767.05887607161,9.22
South Georgia and South Sandwich Islands,-1.0,-1.0
South Korea,-1.0,10.9625
South Sudan,-1.0,5.73
Spain,29598.6105981013,9.19
Sri Lanka,1803.63201934867,10.41
Sudan,-1.0,3.05
Suriname,5041.65494840458,7.9017286
Svalbard,-1.0,-1.0
Sweden,48848.5867755917,12.07
Switzerland,52789.1402349311,12.806565
Syria,-1.0,6.19
Tajikistan,837.238886743834,11.091764
Tanzania,584.149719238281,4.99
Thailand,3397.77077926593,7.29
Timor-Leste,-1.0,-1.0
Togo,443.60023330905,3.324501
Tokelau,-1.0,-1.0
Tonga,3017.22800727367,10.41
Trinidad and Tobago,15740.6692280888,10.3
Tunisia,3090.02754422006,6.31
Turkiye,9024.59580737861,-1.0
Turkmenistan,1845.2851233474,10.868444
Turks and Caicos Islands,-1.0,-1.0
Tuvalu,-1.0,9.233469
Uganda,348.309527667334,5.15
Ukraine,3234.47412109375,11.439487
United Arab Emirates,42200.7742013122,9.494545
United Kingdom,39510.5171466277,12.810012
United States,40165.5509788941,12.99
United States Minor Outlying Islands,-1.0,-1.0
Uruguay,8730.59340499925,8.37
US Virgin Islands,-1.0,-1.0
Uzbekistan,821.091707098887,10.788934
Vanuatu,2385.71289369937,5.856717
Vatican City,-1.0,-1.0
Venezuela,-1.0,8.14
Vietnam,-1.0,7.329862
Wallis and Futuna,-1.0,-1.0
Yemen,-1.0,2.5671437
Zambia,940.023613478814,6.118868
Zimbabwe,18.5252916266247,7.462
