COUNTRY,AVG_YR_SCH
Afghanistan,2.557155
Albania,10.024848
Algeria,6.840236
American Samoa,-1.0
Andorra,10.91
Angola,5.626794
Anguilla,-1.0
Antarctica,-1.0
Antigua and Barbuda,11.749233
Argentina,11.1
Armenia,11.236667
Aruba,-1.0
Australia,12.46
Austria,12.21
Azerbaijan,10.64
Azores,-1.0
Bahamas,12.546755
Bahrain,10.5
Bangladesh,6.39
Barbados,9.812357
Belarus,12.045
Belgium,12.309999
Belize,8.879373
Benin,2.8418949
Bermuda,-1.0
Bhutan,4.5806293
Bolivia,9.6275
Bonaire,-1.0
Bosnia and Herzegovina,9.81
Botswana,10.26
Bouvet Island,-1.0
Brazil,7.98
British Indian Ocean Territory,-1.0
British Virgin Islands,-1.0
Brunei Darussalam,-1.0
Bulgaria,11.296666
Burkina Faso,1.92
Burundi,2.955112
Cabo Verde,-1.0
Cambodia,4.5162773
Cameroon,6.41971
Canada,13.785999
Canarias,-1.0
Cayman Islands,-1.0
Central African Republic,3.906016
Chad,2.185493
Chile,10.761073
China,7.81652
Christmas Island,-1.0
Cocos Islands,-1.0
Colombia,8.5
Comoros,5.444725
Congo,8.213171
Congo DRC,-1.0
Cook Islands,-1.0
Costa Rica,8.72
Côte d'Ivoire,-1.0
Croatia,11.768991
Cuba,10.783103
Curacao,-1.0
Cyprus,12.28
Czech Republic,-1.0
Denmark,12.86
Djibouti,3.7876236
Dominica,9.7688265
Dominican Republic,8.923654
Ecuador,8.786667
Egypt,9.310101
El Salvador,6.9700003
Equatorial Guinea,8.16711
Eritrea,4.7781777
Estonia,13.66
Eswatini,7.898528
Ethiopia,2.3952832
Falkland Islands,-1.0
Faroe Islands,-1.0
Fiji,10.565243
Finland,12.805
France,11.509999
French Guiana,-1.0
French Polynesia,-1.0
French Southern Territories,-1.0
Gabon,9.322
Gambia,4.09984
Georgia,12.844999
Germany,14.08
Ghana,6.317842
Gibraltar,-1.0
Glorioso Islands,-1.0
Greece,10.83
Greenland,-1.0
Grenada,9.363678
Guadeloupe,-1.0
Guam,-1.0
Guatemala,5.4933925
Guernsey,-1.0
Guinea,2.13
Guinea-Bissau,3.6285357
Guyana,8.41519
Haiti,5.3823
Heard Island and McDonald Islands,-1.0
Honduras,6.29
Hungary,12.07
Iceland,13.639999
India,6.24
Indonesia,8.16
Iran,10.521422
Iraq,6.68787
Ireland,11.503047
Isle of Man,-1.0
Israel,13.244182
Italy,10.568
Jamaica,9.407215
Japan,12.642
Jersey,-1.0
Jordan,10.35
Juan De Nova Island,-1.0
Kazakhstan,12.21
Kenya,7.7530313
Kiribati,9.0374
Kuwait,7.22
Kyrgyzstan,11.75653
Laos,5.75963
Latvia,13.18
Lebanon,10.37
Lesotho,7.18587
Liberia,5.2917166
Libya,7.7919574
Liechtenstein,12.2579
Lithuania,13.293333
Luxembourg,12.523625
Madagascar,5.07
Madeira,-1.0
Malawi,5.263612
Malaysia,10.556666
Maldives,6.9480743
Mali,1.87
Malta,11.84
Marshall Islands,11.355085
Martinique,-1.0
Mauritania,4.53893
Mauritius,9.76925
Mayotte,-1.0
Mexico,8.93
Micronesia,-1.0
Moldova,11.78
Monaco,-1.0
Mongolia,10.90405
Montenegro,12.31016
Montserrat,-1.0
Morocco,5.782
Mozambique,3.3266666
Myanmar,5.8697834
Namibia,7.1394114
Nauru,8.886082
Nepal,4.1334434
Netherlands,12.32
New Caledonia,-1.0
New Zealand,13.134999
Nicaragua,9.477228
Niger,1.24591
Nigeria,6.91902
Niue,-1.0
Norfolk Island,-1.0
North Korea,-1.0
North Macedonia,11.68542
Northern Mariana Islands,-1.0
Norway,12.974999
Oman,10.99
Pakistan,4.77032
Palau,13.117334
Palestinian Territory,-1.0
Panama,10.4
Papua New Guinea,4.85106
Paraguay,8.59
Peru,9.76
Philippines,8.575
Pitcairn,-1.0
Poland,13.08
Portugal,9.14
Puerto Rico,-1.0
Qatar,9.938
Réunion,-1.0
Romania,11.215
Russian Federation,-1.0
Rwanda,4.33
Saba,-1.0
Saint Barthelemy,-1.0
Saint Eustatius,-1.0
Saint Helena,-1.0
Saint Kitts and Nevis,10.8494005
Saint Lucia,8.518333
Saint Martin,-1.0
Saint Pierre and Miquelon,-1.0
Saint Vincent and the Grenadines,10.91814
Samoa,11.436575
San Marino,10.8
Sao Tome and Principe,5.7778373
Saudi Arabia,10.583334
Senegal,2.99835
Serbia,11.265
Seychelles,11.15113
Sierra Leone,3.50654
Singapore,11.56
Sint Maarten,-1.0
Slovakia,12.87
Slovenia,12.75
Solomon Islands,5.8216496
Somalia,-1.0
South Africa,10.755
South Georgia and South Sandwich Islands,-1.0
South Korea,12.417449
South Sudan,5.73
Spain,10.14
Sri Lanka,10.64
Sudan,3.77
Suriname,8.30605
Svalbard,-1.0
Sweden,12.549999
Switzerland,13.8
Syria,5.996348
Tajikistan,11.376162
Tanzania,5.58915
Thailand,8.37
Timor-Leste,-1.0
Togo,5.0918674
Tokelau,-1.0
Tonga,10.859976
Trinidad and Tobago,10.737205
Tunisia,7.62261
Turkiye,-1.0
Turkmenistan,11.015053
Turks and Caicos Islands,-1.0
Tuvalu,10.406097
Uganda,6.0596848
Ukraine,11.1430435
United Arab Emirates,12.48
United Kingdom,13.243333
United States,13.5
United States Minor Outlying Islands,-1.0
Uruguay,8.91
US Virgin Islands,-1.0
Uzbekistan,11.77
Vanuatu,6.908355
Vatican City,-1.0
Venezuela,9.962285
Vietnam,8.349999
Wallis and Futuna,-1.0
Yemen,4.5058722
Zambia,7.02935
Zimbabwe,8.57373
