COUNTRY,INCOME,AVG_YR_SCH
Afghanistan,-1.0,1.5215443
Albania,2437.80154959898,9.082857
Algeria,2090.09687358798,5.97994
American Samoa,-1.0,-1.0
Andorra,-1.0,10.09
Angola,1019.35264174305,3.6263938
Anguilla,-1.0,-1.0
Antarctica,-1.0,-1.0
Antigua and Barbuda,-1.0,9.853291
Argentina,3797.81840518292,10.099999
Armenia,1404.74990032382,10.7699995
Aruba,16794.3868236085,-1.0
Australia,26918.7794818103,11.55
Austria,31858.6160351506,11.56
Azerbaijan,947.140390652701,10.5
Azores,-1.0,-1.0
Bahamas,-1.0,11.45
Bahrain,12370.435613183,8.202222
Bangladesh,461.19293360395,4.72
Barbados,12129.9411167745,9.518214
Belarus,2676.13727395177,10.823963
Belgium,30809.4826448051,11.027264
Belize,4027.62753020606,8.03
Benin,675.797168055236,2.49805
Bermuda,-1.0,-1.0
Bhutan,1065.6305719718,-1.0
Bolivia,815.83925825748,6.962
Bonaire,-1.0,-1.0
Bosnia and Herzegovina,2574.5494292313,6.6785245
Botswana,3932.40570337176,8.28
Bouvet Island,-1.0,-1.0
Brazil,3898.8675732753,6.15
British Indian Ocean Territory,-1.0,-1.0
British Virgin Islands,-1.0,-1.0
Brunei Darussalam,17689.0514128281,-1.0
Bulgaria,3338.79265351051,10.344
Burkina Faso,404.856448337693,1.3436242
Burundi,85.525083263813,2.2683334
Cabo Verde,1695.38837384147,-1.0
Cambodia,419.504731926381,3.6869936
Cameroon,920.429354666946,3.369273
Canada,29229.8971913554,13.188
Canarias,-1.0,-1.0
Cayman Islands,-1.0,-1.0
Central African Republic,287.00064739721,2.955806
Chad,347.568171290346,1.536
Chile,5511.82242001172,9.736667
China,1428.78714461232,6.5899997
Christmas Island,-1.0,-1.0
Cocos Islands,-1.0,-1.0
Colombia,2797.27754896545,7.28
Comoros,1021.20202601064,3.5014646
Congo,-1.0,7.5029297
Congo DRC,-1.0,-1.0
Cook Islands,-1.0,-1.0
Costa Rica,4219.71286003499,8.054579
Côte d'Ivoire,-1.0,-1.0
Croatia,8699.73337213194,10.4140005
Cuba,3263.98485430504,10.569
Curacao,-1.0,-1.0
Cyprus,20741.3828125,10.72
Czech Republic,-1.0,-1.0
Denmark,40233.2644464588,12.83
Djibouti,825.700748931515,1.9588367
Dominica,4474.11786199753,8.225018
Dominican Republic,3473.49974474119,6.8544297
Ecuador,2128.19223193701,7.605882
Egypt,-1.0,6.4110003
El Salvador,2190.68907304153,5.6042857
Equatorial Guinea,105.374607853093,6.860718
Eritrea,360.112566736541,4.7109795
Estonia,8538.23862897596,13.03
Eswatini,2732.38976225678,4.5262527
Ethiopia,108.145302239923,1.8622817
Falkland Islands,-1.0,-1.0
Faroe Islands,-1.0,-1.0
Fiji,3104.76102119336,8.958181
Finland,32328.401549713,12.18
France,29736.2674910567,10.32
French Guiana,-1.0,-1.0
French Polynesia,-1.0,-1.0
French Southern Territories,-1.0,-1.0
Gabon,3098.28621575741,6.92
Gambia,-1.0,2.655291
Georgia,1441.33674006949,12.094
Germany,28850.8727715642,13.7
Ghana,377.009950824075,5.461081
Gibraltar,-1.0,-1.0
Glorioso Islands,-1.0,-1.0
Greece,-1.0,9.75
Greenland,-1.0,-1.0
Grenada,-1.0,8.7711115
Guadeloupe,-1.0,-1.0
Guam,-1.0,-1.0
Guatemala,1783.65065373218,3.7
Guernsey,-1.0,-1.0
Guinea,229.558182481716,1.5121429
Guinea-Bissau,337.267074594722,2.1485682
Guyana,859.686350553024,6.5503483
Haiti,764.3922830211,4.274355
Heard Island and McDonald Islands,-1.0,-1.0
Honduras,1156.22636449648,4.931901
Hungary,8735.61647399263,10.83
Iceland,-1.0,12.47
India,619.796128035521,4.5278273
Indonesia,865.569608947235,7.316875
Iran,-1.0,9.559948
Iraq,1158.77396136837,6.0111656
Ireland,37328.6403236764,11.23
Isle of Man,-1.0,-1.0
Israel,17305.2642072982,11.275001
Italy,26970.7071797138,9.27
Jamaica,3589.50486157689,7.9389997
Japan,29916.3767549197,12.3075
Jersey,-1.0,-1.0
Jordan,1985.85607636576,8.488
Juan De Nova Island,-1.0,-1.0
Kazakhstan,2057.47700608767,11.025001
Kenya,426.178548069274,6.004611
Kiribati,1526.94985307964,7.9440236
Kuwait,33271.0458318126,6.11
Kyrgyzstan,-1.0,10.632
Laos,-1.0,4.6072683
Latvia,5847.9349088874,12.25
Lebanon,3907.23091456194,7.6517177
Lesotho,1031.30103837496,6.0453377
Liberia,148.487241136215,3.851041
Libya,5564.55381798092,6.44
Liechtenstein,-1.0,11.6053505
Lithuania,6739.68215545756,11.87
Luxembourg,66045.1552194469,11.445
Madagascar,259.744219611678,4.4758167
Madeira,-1.0,-1.0
Malawi,235.719626043919,3.773761
Malaysia,3829.40558158388,7.59
Maldives,3275.30679021372,3.4919868
Mali,404.219533356905,1.3602606
Malta,-1.0,9.78
Marshall Islands,-1.0,-1.0
Martinique,-1.0,-1.0
Mauritania,899.946680461981,3.4049976
Mauritius,4751.52633846777,7.309091
Mayotte,-1.0,-1.0
Mexico,6543.66474182415,7.49
Micronesia,-1.0,-1.0
Moldova,998.25620702563,10.7884865
Monaco,-1.0,-1.0
Mongolia,809.363306946184,9.54
Montenegro,-1.0,10.65
Montserrat,-1.0,-1.0
Morocco,1834.76000976563,3.79
Mozambique,356.514684374122,2.1395385
Myanmar,157.665723577383,3.2444766
Namibia,3146.195145413,6.120965
Nauru,-1.0,7.498781
Nepal,297.069206034768,3.208
Netherlands,34410.375700322,11.79
New Caledonia,-1.0,-1.0
New Zealand,21955.7866345998,13.2699995
Nicaragua,1063.23740306857,7.362787
Niger,336.754968341955,1.3719434
Nigeria,925.833147570393,5.4882483
Niue,-1.0,-1.0
Norfolk Island,-1.0,-1.0
North Korea,-1.0,-1.0
North Macedonia,2438.98453438107,7.976016
Northern Mariana Islands,-1.0,-1.0
Norway,52495.2527311086,12.28
Oman,6916.92042414751,6.9579997
Pakistan,601.348539179556,4.5821924
Palau,-1.0,12.355048
Palestinian Territory,-1.0,-1.0
Panama,4251.31497337727,8.58
Papua New Guinea,476.223424026824,3.6640985
Paraguay,1525.83831905719,7.35
Peru,2258.48892064226,7.92
Philippines,1193.16670648646,8.6575
Pitcairn,-1.0,-1.0
