COUNTRY,AVG_YR_SCH
Afghanistan,2.0306766
Albania,10.01934
Algeria,5.9400673
American Samoa,-1.0
Andorra,10.62
Angola,3.9495993
Anguilla,-1.0
Antarctica,-1.0
Antigua and Barbuda,10.992444
Argentina,10.89
Armenia,11.38
Aruba,-1.0
Australia,12.02
Austria,11.79
Azerbaijan,10.57
Azores,-1.0
Bahamas,12.113013
Bahrain,8.675
Bangladesh,5.06
Barbados,9.677714
Belarus,11.57
Belgium,11.54
Belize,9.550058
Benin,2.5995166
Bermuda,-1.0
Bhutan,2.588
Bolivia,8.423333
Bonaire,-1.0
Bosnia and Herzegovina,8.54
Botswana,9.56
Bouvet Island,-1.0
Brazil,7.29
British Indian Ocean Territory,-1.0
British Virgin Islands,-1.0
Brunei Darussalam,-1.0
Bulgaria,11.01
Burkina Faso,1.2457143
Burundi,2.0966666
Cabo Verde,-1.0
Cambodia,3.668
Cameroon,5.657391
Canada,13.628
Canarias,-1.0
Cayman Islands,-1.0
Central African Republic,3.5959284
Chad,1.949108
Chile,10.01
China,7.343695
Christmas Island,-1.0
Cocos Islands,-1.0
Colombia,7.83
Comoros,4.7420807
Congo,7.9221325
Congo DRC,-1.0
Cook Islands,-1.0
Costa Rica,8.58
Côte d'Ivoire,-1.0
Croatia,11.323814
Cuba,11.380517
Curacao,-1.0
Cyprus,11.88
Czech Republic,-1.0
Denmark,12.75
Djibouti,2.9827561
Dominica,9.175054
Dominican Republic,7.52
Ecuador,8.29
Egypt,8.0936365
El Salvador,6.43
Equatorial Guinea,7.6799107
Eritrea,4.651272
Estonia,13.54
Eswatini,6.715629
Ethiopia,2.272716
Falkland Islands,-1.0
Faroe Islands,-1.0
Fiji,10.074
Finland,12.55
France,11.08
French Guiana,-1.0
French Polynesia,-1.0
French Southern Territories,-1.0
Gabon,8.416
Gambia,3.5711415
Georgia,12.559999
Germany,14.01
Ghana,5.8512797
Gibraltar,-1.0
Glorioso Islands,-1.0
Greece,10.502501
Greenland,-1.0
Grenada,9.132583
Guadeloupe,-1.0
Guam,-1.0
Guatemala,4.9
Guernsey,-1.0
Guinea,1.7975
Guinea-Bissau,3.303118
Guyana,7.697943
Haiti,5.0275984
Heard Island and McDonald Islands,-1.0
Honduras,5.85
Hungary,12.01
Iceland,13.19
India,5.4951563
Indonesia,7.7033334
Iran,10.04
Iraq,6.5370193
Ireland,11.143333
Isle of Man,-1.0
Israel,12.8
Italy,10.12
Jamaica,8.716347
Japan,12.572
Jersey,-1.0
Jordan,10.070131
Juan De Nova Island,-1.0
Kazakhstan,11.668513
Kenya,6.5448866
Kiribati,8.634078
Kuwait,6.68
Kyrgyzstan,11.258457
Laos,5.2782087
Latvia,12.81
Lebanon,9.310909
Lesotho,6.362935
Liberia,4.4358287
Libya,7.8077264
Liechtenstein,11.836252
Lithuania,12.59
Luxembourg,13.2
Madagascar,4.8414683
Madeira,-1.0
Malawi,4.989488
Malaysia,10.035
Maldives,5.695852
Mali,1.9250001
Malta,11.03
Marshall Islands,11.014845
Martinique,-1.0
Mauritania,4.21
Mauritius,8.977586
Mayotte,-1.0
Mexico,8.36
Micronesia,-1.0
Moldova,11.63
Monaco,-1.0
Mongolia,10.364018
Montenegro,11.574331
Montserrat,-1.0
Morocco,4.924
Mozambique,2.905
Myanmar,4.335717
Namibia,6.7505503
Nauru,8.333045
Nepal,3.605532
Netherlands,12.07
New Caledonia,-1.0
New Zealand,13.33
Nicaragua,8.641161
Niger,1.5743183
Nigeria,6.347104
Niue,-1.0
Norfolk Island,-1.0
North Korea,-1.0
North Macedonia,10.258726
Northern Mariana Islands,-1.0
Norway,12.676666
Oman,8.988
Pakistan,4.96
Palau,12.82
Palestinian Territory,-1.0
Panama,9.7
Papua New Guinea,4.4671035
Paraguay,8.29
Peru,9.14
Philippines,9.15
Pitcairn,-1.0
Poland,12.78
Portugal,8.66
Puerto Rico,-1.0
Qatar,9.8
Réunion,-1.0
Romania,11.02
Russian Federation,-1.0
Rwanda,3.915
Saba,-1.0
Saint Barthelemy,-1.0
Saint Eustatius,-1.0
Saint Helena,-1.0
Saint Kitts and Nevis,10.352551
Saint Lucia,8.36
Saint Martin,-1.0
Saint Pierre and Miquelon,-1.0
Saint Vincent and the Grenadines,10.477438
Samoa,11.610451
San Marino,10.265976
Sao Tome and Principe,5.4379725
Saudi Arabia,9.66
Senegal,2.78
Serbia,10.56
Seychelles,10.907026
Sierra Leone,3.39605
Singapore,11.15
Sint Maarten,-1.0
Slovakia,12.44
Slovenia,12.38
Solomon Islands,5.6220284
Somalia,-1.0
South Africa,10.04
South Georgia and South Sandwich Islands,-1.0
South Korea,11.928
South Sudan,5.73
Spain,9.615001
Sri Lanka,10.504286
Sudan,3.424
Suriname,8.103889
Svalbard,-1.0
Sweden,12.23
Switzerland,13.525001
Syria,6.2679377
Tajikistan,11.274117
Tanzania,5.4645233
Thailand,7.91
Timor-Leste,-1.0
Togo,4.0461936
Tokelau,-1.0
Tonga,10.90285
Trinidad and Tobago,10.667773
Tunisia,6.855
Turkiye,-1.0
Turkmenistan,10.837076
Turks and Caicos Islands,-1.0
Tuvalu,9.819783
Uganda,5.3199625
Ukraine,11.305478
United Arab Emirates,10.335455
United Kingdom,12.83
United States,13.2
United States Minor Outlying Islands,-1.0
Uruguay,8.52
US Virgin Islands,-1.0
Uzbekistan,11.27
Vanuatu,6.3572555
Vatican City,-1.0
Venezuela,9.38
Vietnam,7.8999996
Wallis and Futuna,-1.0
Yemen,3.5654774
Zambia,6.5741086
Zimbabwe,7.99
