COUNTRY,AVG_YR_SCH
Afghanistan,1.9838598
Albania,10.03
Algeria,5.7600336
American Samoa,-1.0
Andorra,10.59
Angola,3.9091985
Anguilla,-1.0
Antarctica,-1.0
Antigua and Barbuda,10.843142
Argentina,10.79
Armenia,11.285
Aruba,-1.0
Australia,12.3
Austria,11.75
Azerbaijan,10.61
Azores,-1.0
Bahamas,12.028081
Bahrain,8.46
Bangladesh,5.3
Barbados,9.669428
Belarus,11.474999
Belgium,11.5
Belize,9.863372
Benin,2.5868332
Bermuda,-1.0
Bhutan,2.22
Bolivia,8.17
Bonaire,-1.0
Bosnia and Herzegovina,7.89
Botswana,9.33
Bouvet Island,-1.0
Brazil,7.22
British Indian Ocean Territory,-1.0
British Virgin Islands,-1.0
Brunei Darussalam,-1.0
Bulgaria,10.9
Burkina Faso,1.2014285
Burundi,2.1633334
Cabo Verde,-1.0
Cambodia,3.736
Cameroon,5.5049276
Canada,13.594
Canarias,-1.0
Cayman Islands,-1.0
Central African Republic,3.4762454
Chad,1.901831
Chile,9.775
China,7.2491302
Christmas Island,-1.0
Cocos Islands,-1.0
Colombia,7.63
Comoros,4.601552
Congo,7.804649
Congo DRC,-1.0
Cook Islands,-1.0
Costa Rica,8.41
Côte d'Ivoire,-1.0
Croatia,11.267766
Cuba,11.5
Curacao,-1.0
Cyprus,11.81
Czech Republic,-1.0
Denmark,12.7
Djibouti,2.8300252
Dominica,9.056299
Dominican Republic,7.43
Ecuador,8.1
Egypt,7.8545456
El Salvador,6.37
Equatorial Guinea,7.5723877
Eritrea,4.658694
Estonia,13.45
Eswatini,6.4148426
Ethiopia,2.221358
Falkland Islands,-1.0
Faroe Islands,-1.0
Fiji,9.935
Finland,12.49
France,10.94
French Guiana,-1.0
French Polynesia,-1.0
French Southern Territories,-1.0
Gabon,8.134
Gambia,3.438377
Georgia,12.5
Germany,13.98
Ghana,5.820609
Gibraltar,-1.0
Glorioso Islands,-1.0
Greece,10.405001
Greenland,-1.0
Grenada,9.0865965
Guadeloupe,-1.0
Guam,-1.0
Guatemala,4.8
Guernsey,-1.0
Guinea,1.725
Guinea-Bissau,3.1556969
Guyana,7.554494
Haiti,4.92597
Heard Island and McDonald Islands,-1.0
Honduras,5.52
Hungary,11.84
Iceland,13.099999
India,5.3975782
Indonesia,7.606667
Iran,9.89
Iraq,6.5068493
Ireland,11.071667
Isle of Man,-1.0
Israel,12.69
Italy,10.02
Jamaica,8.578174
Japan,12.558
Jersey,-1.0
Jordan,9.916754
Juan De Nova Island,-1.0
Kazakhstan,11.503885
Kenya,6.303258
Kiribati,8.544645
Kuwait,7.27
Kyrgyzstan,11.158843
Laos,5.1780033
Latvia,12.7
Lebanon,9.099091
Lesotho,6.198348
Liberia,4.346175
Libya,7.81
Liechtenstein,11.796096
Lithuania,12.56
Luxembourg,13.0
Madagascar,4.7957616
Madeira,-1.0
Malawi,4.837522
Malaysia,9.923333
Maldives,5.4235873
Mali,1.9725
Malta,10.8
Marshall Islands,10.947215
Martinique,-1.0
Mauritania,4.0839643
Mauritius,8.748794
Mayotte,-1.0
Mexico,8.49
Micronesia,-1.0
Moldova,11.7
Monaco,-1.0
Mongolia,10.256013
Montenegro,11.427165
Montserrat,-1.0
Morocco,4.696
Mozambique,2.7624998
Myanmar,4.136479
Namibia,6.6332746
Nauru,8.223886
Nepal,3.562766
Netherlands,12.02
New Caledonia,-1.0
New Zealand,13.38
Nicaragua,8.457766
Niger,1.64
Nigeria,6.3090134
Niue,-1.0
Norfolk Island,-1.0
North Korea,-1.0
North Macedonia,9.973388
Northern Mariana Islands,-1.0
Norway,12.643333
Oman,8.632
Pakistan,4.88
Palau,12.761881
Palestinian Territory,-1.0
Panama,9.559999
Papua New Guinea,4.337054
Paraguay,7.78
Peru,9.08
Philippines,9.07
Pitcairn,-1.0
Poland,12.78
Portugal,8.5
Puerto Rico,-1.0
Qatar,9.12
Réunion,-1.0
Romania,10.96
Russian Federation,-1.0
Rwanda,3.77
Saba,-1.0
Saint Barthelemy,-1.0
Saint Eustatius,-1.0
Saint Helena,-1.0
Saint Kitts and Nevis,10.104127
Saint Lucia,8.363333
Saint Martin,-1.0
Saint Pierre and Miquelon,-1.0
Saint Vincent and the Grenadines,10.390033
Samoa,11.645226
San Marino,10.162383
Sao Tome and Principe,5.37
Saudi Arabia,9.422222
Senegal,2.585
Serbia,10.565001
Seychelles,10.858206
Sierra Leone,3.3676
Singapore,11.02
Sint Maarten,-1.0
Slovakia,12.38
Slovenia,12.28
Solomon Islands,5.579377
Somalia,-1.0
South Africa,9.93
South Georgia and South Sandwich Islands,-1.0
South Korea,11.832
South Sudan,5.73
Spain,9.51
Sri Lanka,10.505714
Sudan,3.326
Suriname,8.0634575
Svalbard,-1.0
Sweden,12.34
Switzerland,13.41
Syria,6.3227305
Tajikistan,11.237647
Tanzania,5.45
Thailand,7.81
Timor-Leste,-1.0
Togo,3.8430967
Tokelau,-1.0
Tonga,10.911425
Trinidad and Tobago,10.653887
Tunisia,6.74
Turkiye,-1.0
Turkmenistan,10.84335
Turks and Caicos Islands,-1.0
Tuvalu,9.70252
Uganda,5.13
Ukraine,11.374514
United Arab Emirates,10.167273
United Kingdom,13.34
United States,13.14
United States Minor Outlying Islands,-1.0
Uruguay,8.48
US Virgin Islands,-1.0
Uzbekistan,11.172101
Vanuatu,6.253837
Vatican City,-1.0
Venezuela,9.25
Vietnam,7.81
Wallis and Futuna,-1.0
Yemen,3.3426352
Zambia,6.4830604
Zimbabwe,7.87
