COUNTRY,INCOME
Afghanistan,605.752003662601
Albania,3571.24661350673
Algeria,4280.70872972331
American Samoa,-1.0
Andorra,-1.0
Angola,2865.33333780367
Anguilla,-1.0
Antarctica,-1.0
Antigua and Barbuda,-1.0
Argentina,10774.0929660292
Armenia,3172.03440849408
Aruba,21395.3346349053
Australia,53605.7387158548
Austria,39980.6308392887
Azerbaijan,5294.53768774421
Azores,-1.0
Bahamas,-1.0
Bahrain,17582.5404744278
Bangladesh,853.69080005025
Barbados,14143.5399511468
Belarus,5735.83109017894
Belgium,36945.8409992463
Belize,4209.02923343129
Benin,938.478056583206
Bermuda,-1.0
Bhutan,2002.64933313358
Bolivia,1972.18496259599
Bonaire,-1.0
Bosnia and Herzegovina,3976.01113547479
Botswana,5391.61316905503
Bouvet Island,-1.0
Brazil,9351.31113035426
British Indian Ocean Territory,-1.0
British Virgin Islands,-1.0
Brunei Darussalam,33074.5430677057
Bulgaria,6243.72397865396
Burkina Faso,629.012476457329
Burundi,159.155192229332
Cabo Verde,2874.02049007846
Cambodia,823.902745546466
Cameroon,1122.02922957732
Canada,43024.4508036713
Canarias,-1.0
Cayman Islands,-1.0
Central African Republic,485.491953696697
Chad,677.238274035707
Chile,11767.1772771293
China,4770.26318228205
Christmas Island,-1.0
Cocos Islands,-1.0
Colombia,6333.71659114471
Comoros,1354.67617257313
Congo,-1.0
Congo DRC,-1.0
Cook Islands,-1.0
Costa Rica,9250.98091105138
Côte d'Ivoire,-1.0
Croatia,10625.5448965079
Cuba,5495.46932884496
Curacao,-1.0
Cyprus,25145.888671875
Czech Republic,-1.0
Denmark,48806.8030244049
Djibouti,1155.78841770139
Dominica,5737.61180998054
Dominican Republic,5518.65385737283
Ecuador,4196.20136237208
Egypt,-1.0
El Salvador,3033.32781877227
Equatorial Guinea,3902.70657322465
Eritrea,-1.0
Estonia,13778.3372333754
Eswatini,2936.68165467725
Ethiopia,334.021072183899
Falkland Islands,-1.0
Faroe Islands,-1.0
Fiji,3645.17981094089
Finland,38711.3097858372
France,34394.6934380847
French Guiana,-1.0
French Polynesia,-1.0
French Southern Territories,-1.0
Gabon,4124.60374053146
Gambia,-1.0
Georgia,3765.07067504281
Germany,36959.9689345963
Ghana,1156.64709225672
Gibraltar,-1.0
Glorioso Islands,-1.0
Greece,18108.1894149515
Greenland,-1.0
Grenada,-1.0
Guadeloupe,-1.0
Guam,-1.0
Guatemala,2813.17448261832
Guernsey,-1.0
Guinea,565.453311423872
Guinea-Bissau,463.163260314311
Guyana,4619.24045546832
Haiti,1298.95044524483
Heard Island and McDonald Islands,-1.0
Honduras,1860.10670067016
Hungary,10013.3594013377
Iceland,32294.153175145
India,1232.59948449774
Indonesia,2728.13458844491
Iran,-1.0
Iraq,5002.74056996271
Ireland,32552.7401406923
Isle of Man,-1.0
Israel,27194.7034534654
Italy,28253.6457649136
Jamaica,4821.19934628074
Japan,38500.5841855472
Jersey,-1.0
Jordan,3812.818734422
Juan De Nova Island,-1.0
Kazakhstan,7790.55170821275
Kenya,967.091990329189
Kiribati,2423.71262090668
Kuwait,43810.6422087909
Kyrgyzstan,-1.0
Laos,-1.0
Latvia,10297.666032066
Lebanon,6810.3477368797
Lesotho,1164.68506946921
Liberia,329.10036869894
Libya,10586.5952336717
Liechtenstein,-1.0
Lithuania,12007.9053991298
Luxembourg,73525.2286013216
Madagascar,389.392968452254
Madeira,-1.0
Malawi,291.494001215453
Malaysia,7701.61273414078
Maldives,5954.07595971958
Mali,585.013878036503
Malta,-1.0
Marshall Islands,-1.0
Martinique,-1.0
Mauritania,1519.23123747188
Mauritius,7767.90349332929
Mayotte,-1.0
Mexico,7902.19300156704
Micronesia,-1.0
Moldova,3043.2465579593
Monaco,-1.0
Mongolia,3304.77802289322
Montenegro,5879.40426956331
Montserrat,-1.0
Morocco,2577.33471679688
Mozambique,560.425570589114
Myanmar,1039.88598915343
Namibia,4985.79781747469
Nauru,-1.0
Nepal,754.335419328155
Netherlands,40527.2150841315
New Caledonia,-1.0
New Zealand,32281.4096926345
Nicaragua,1543.78777704222
Niger,533.960420320153
Nigeria,2108.57001929312
Niue,-1.0
Norfolk Island,-1.0
North Korea,-1.0
North Macedonia,3928.31313419145
Northern Mariana Islands,-1.0
Norway,79207.1416976655
Oman,12817.4983861285
Pakistan,992.596316572476
Palau,-1.0
Palestinian Territory,-1.0
Panama,9459.13418786686
Papua New Guinea,2078.23334277669
Paraguay,4767.95115990238
Peru,5409.39881906096
Philippines,2621.08166727407
Pitcairn,-1.0
Poland,11004.7251884868
Portugal,16374.4014412899
Puerto Rico,-1.0
Qatar,69033.6767426833
Réunion,-1.0
Romania,7016.99632321885
Russian Federation,12219.1728515625
Rwanda,573.912210039267
Saba,-1.0
Saint Barthelemy,-1.0
Saint Eustatius,-1.0
Saint Helena,-1.0
Saint Kitts and Nevis,-1.0
Saint Lucia,-1.0
Saint Martin,-1.0
Saint Pierre and Miquelon,-1.0
