COUNTRY,INCOME
Afghanistan,340.523243575066
Albania,5943.36134111783
Algeria,2809.55559413559
American Samoa,-1.0
Andorra,-1.0
Angola,1231.92513309873
Anguilla,-1.0
Antarctica,-1.0
Antigua and Barbuda,-1.0
Argentina,9092.08560830429
Armenia,3790.56480898451
Aruba,24724.8665721459
Australia,45710.8904505974
Austria,43281.7334797461
Azerbaijan,3965.42439576196
Azores,-1.0
Bahamas,-1.0
Bahrain,-1.0
Bangladesh,2567.44432056871
Barbados,14760.3025334826
Belarus,5812.02174051461
Belgium,41743.0142804966
Belize,4880.64188231215
Benin,1173.28565331485
Bermuda,-1.0
Bhutan,2945.36081733067
Bolivia,2656.57385905118
Bonaire,-1.0
Bosnia and Herzegovina,6019.15369598799
Botswana,5455.5673993521
Bouvet Island,-1.0
Brazil,5775.8395830056
British Indian Ocean Territory,-1.0
British Virgin Islands,-1.0
Brunei Darussalam,22736.0067919512
Bulgaria,10690.3143634493
Burkina Faso,670.055139103883
Burundi,150.932567422257
Cabo Verde,3210.02754015386
Cambodia,1343.72667633843
Cameroon,1377.09223221176
Canada,41986.2328595884
Canarias,-1.0
Cayman Islands,-1.0
Central African Republic,417.433814182588
Chad,468.646631606942
Chile,11116.895712123
China,9015.34800413676
Christmas Island,-1.0
Cocos Islands,-1.0
Colombia,5127.30925580657
Comoros,1452.96197891214
Congo,-1.0
Congo DRC,-1.0
Cook Islands,-1.0
Costa Rica,11172.4316041155
Côte d'Ivoire,-1.0
Croatia,14553.4842135772
Cuba,-1.0
Curacao,-1.0
Cyprus,24104.8046875
Czech Republic,-1.0
Denmark,58796.3599323691
Djibouti,2747.30046170044
Dominica,7024.40189092386
Dominican Republic,7364.09894472623
Ecuador,4420.8252862934
Egypt,-1.0
El Salvador,3710.6608174124
Equatorial Guinea,2709.30529166796
Eritrea,-1.0
Estonia,22462.3647535878
Eswatini,2886.40997620246
Ethiopia,786.584764773159
Falkland Islands,-1.0
Faroe Islands,-1.0
Fiji,3782.21197559554
Finland,44416.2001989398
France,36447.5784621026
French Guiana,-1.0
French Polynesia,-1.0
French Southern Territories,-1.0
Gabon,4438.45192947463
Gambia,-1.0
Georgia,4084.97057411529
Germany,42982.481891127
Ghana,1841.53504387296
Gibraltar,-1.0
Glorioso Islands,-1.0
Greece,17262.586536424
Greenland,-1.0
Grenada,-1.0
Guadeloupe,-1.0
Guam,-1.0
Guatemala,4189.20818789597
Guernsey,-1.0
Guinea,854.619249630273
Guinea-Bissau,678.036990059082
Guyana,6274.0574383529
Haiti,1736.01502540481
Heard Island and McDonald Islands,-1.0
Honduras,2404.35299386921
Hungary,14920.716250848
Iceland,54204.4243535276
India,1907.12903981633
Indonesia,3189.24304681592
Iran,-1.0
Iraq,3731.8369389844
Ireland,48855.6690559124
Isle of Man,-1.0
Israel,43494.5020003156
Italy,29681.5571261882
Jamaica,4687.72767428817
Japan,30520.0704825716
Jersey,-1.0
Jordan,3934.82139218763
Juan De Nova Island,-1.0
Kazakhstan,6362.63178237645
Kenya,1789.59666490958
Kiribati,2801.82218514503
Kuwait,-1.0
Kyrgyzstan,-1.0
Laos,-1.0
Latvia,16238.8897578519
Lebanon,3026.70866734456
Lesotho,1037.38612572822
Liberia,339.120919141194
Libya,4638.50082445021
Liechtenstein,-1.0
Lithuania,19903.5594370349
Luxembourg,77781.175704672
Madagascar,421.013289270506
Madeira,-1.0
Malawi,563.044923837894
Malaysia,7704.95361176673
Maldives,8388.42332569289
Mali,647.836401838067
Malta,-1.0
Marshall Islands,-1.0
Martinique,-1.0
Mauritania,1772.21727437045
Mauritius,8167.69674265462
Mayotte,-1.0
Mexico,7443.53351798716
Micronesia,-1.0
Moldova,4753.25524379629
Monaco,-1.0
Mongolia,2762.494617529
Montenegro,8403.73025730501
Montserrat,-1.0
Morocco,3372.8427734375
Mozambique,370.521112740137
Myanmar,1049.6220845224
Namibia,3617.97406621175
Nauru,-1.0
Nepal,1148.15861171585
Netherlands,46419.7071212119
New Caledonia,-1.0
New Zealand,40731.0129417964
Nicaragua,1747.48329577979
Niger,592.226305032507
Nigeria,1662.53237835855
Niue,-1.0
Norfolk Island,-1.0
North Korea,-1.0
North Macedonia,5996.1109517865
Northern Mariana Islands,-1.0
Norway,69953.0192338809
Oman,12557.8131886698
Pakistan,1363.23295218181
Palau,-1.0
Palestinian Territory,-1.0
Panama,11846.9473169223
Papua New Guinea,1831.82762498794
Paraguay,5263.78826816433
Peru,5142.14438609315
Philippines,3196.29090547243
Pitcairn,-1.0
Poland,15410.7923025682
Portugal,19318.4675574803
Puerto Rico,-1.0
Qatar,51676.6570074114
Réunion,-1.0
Romania,12194.3636281641
Russian Federation,8992.818359375
Rwanda,673.703834888588
Saba,-1.0
Saint Barthelemy,-1.0
Saint Eustatius,-1.0
Saint Helena,-1.0
Saint Kitts and Nevis,-1.0
Saint Lucia,-1.0
Saint Martin,-1.0
Saint Pierre and Miquelon,-1.0
Saint Vincent and the Grenadines,-1.0
Samoa,3538.93524852183
San Marino,-1.0
Sao Tome and Principe,1919.47842396172
Saudi Arabia,-1.0
Senegal,1376.93847236559
Serbia,7431.64056276737
Seychelles,12252.2419252636
Sierra Leone,426.186918935946
Singapore,50689.9927011895
Sint Maarten,-1.0
Slovakia,-1.0
Slovenia,23493.4748984427
Solomon Islands,1974.0586677433
Somalia,-1.0
South Africa,5520.94799061464
South Georgia and South Sandwich Islands,-1.0
South Korea,-1.0
South Sudan,-1.0
Spain,25103.6146434791
Sri Lanka,3611.59123580456
Sudan,598.412292480469
Suriname,3132.6744747162
Svalbard,-1.0
Sweden,51830.6266145746
Switzerland,69631.6582374907
Syria,-1.0
Tajikistan,908.578935853794
Tanzania,971.620056152344
Thailand,5393.01457363715
Timor-Leste,417.852874646055
Togo,832.309612794466
Tokelau,-1.0
Tonga,4284.02186055023
Trinidad and Tobago,15142.8168882019
Tunisia,3285.41977717876
Turkiye,-1.0
Turkmenistan,-1.0
Turks and Caicos Islands,18783.4671555078
Tuvalu,-1.0
Uganda,654.12575637693
Ukraine,3918.818359375
United Arab Emirates,-1.0
United Kingdom,-1.0
United States,58997.3355905177
United States Minor Outlying Islands,-1.0
Uruguay,14718.5878720984
US Virgin Islands,-1.0
Uzbekistan,1457.84675888408
Vanuatu,3159.75742782157
Vatican City,-1.0
Venezuela,-1.0
Vietnam,-1.0
Wallis and Futuna,-1.0
Yemen,-1.0
Zambia,610.556200427829
Zimbabwe,1490.55030945387
