COUNTRY,AVG_YR_SCH
Afghanistan,1.9370431
Albania,9.8
Algeria,5.58
American Samoa,-1.0
Andorra,10.559999
Angola,3.868798
Anguilla,-1.0
Antarctica,-1.0
Antigua and Barbuda,10.695868
Argentina,10.7
Armenia,11.19
Aruba,-1.0
Australia,12.12
Austria,11.71
Azerbaijan,10.61
Azores,-1.0
Bahamas,11.943745
Bahrain,8.245
Bangladesh,5.2
Barbados,9.661142
Belarus,11.38
Belgium,11.47
Belize,10.176686
Benin,2.57415
Bermuda,-1.0
Bhutan,2.2887266
Bolivia,7.94
Bonaire,-1.0
Bosnia and Herzegovina,7.24
Botswana,9.1
Bouvet Island,-1.0
Brazil,7.01
British Indian Ocean Territory,-1.0
British Virgin Islands,-1.0
Brunei Darussalam,-1.0
Bulgaria,10.78
Burkina Faso,1.1571429
Burundi,2.23
Cabo Verde,-1.0
Cambodia,3.804
Cameroon,5.3524637
Canada,13.56
Canarias,-1.0
Cayman Islands,-1.0
Central African Republic,3.3565626
Chad,1.8545539
Chile,9.54
China,7.154565
Christmas Island,-1.0
Cocos Islands,-1.0
Colombia,7.52
Comoros,4.4443965
Congo,7.6871653
Congo DRC,-1.0
Cook Islands,-1.0
Costa Rica,8.35
Côte d'Ivoire,-1.0
Croatia,11.14
Cuba,11.367
Curacao,-1.0
Cyprus,11.58
Czech Republic,-1.0
Denmark,12.47
Djibouti,2.6851149
Dominica,8.937545
Dominican Republic,7.33
Ecuador,7.91
Egypt,7.6154547
El Salvador,6.21
Equatorial Guinea,7.46637
Eritrea,4.666127
Estonia,13.4
Eswatini,6.1140566
Ethiopia,2.17
Falkland Islands,-1.0
Faroe Islands,-1.0
Fiji,9.796
Finland,12.46
France,10.85
French Guiana,-1.0
French Polynesia,-1.0
French Southern Territories,-1.0
Gabon,7.852
Gambia,3.3056123
Georgia,12.442
Germany,13.93
Ghana,5.7899384
Gibraltar,-1.0
Glorioso Islands,-1.0
Greece,10.3075
Greenland,-1.0
Grenada,9.040842
Guadeloupe,-1.0
Guam,-1.0
Guatemala,4.6083336
Guernsey,-1.0
Guinea,1.6525
Guinea-Bissau,3.0082755
Guyana,7.4110446
Haiti,4.8243423
Heard Island and McDonald Islands,-1.0
Honduras,5.58
Hungary,11.92
Iceland,13.01
India,5.3
Indonesia,7.51
Iran,9.8
Iraq,6.476679
Ireland,11.0
Isle of Man,-1.0
Israel,12.6
Italy,9.9
Jamaica,8.44
Japan,12.544
Jersey,-1.0
Jordan,9.763377
Juan De Nova Island,-1.0
Kazakhstan,11.339257
Kenya,6.061629
Kiribati,8.45614
Kuwait,7.06
Kyrgyzstan,11.059229
Laos,5.077798
Latvia,12.61
Lebanon,8.887273
Lesotho,6.033761
Liberia,4.256521
Libya,7.56
Liechtenstein,11.755939
Lithuania,12.57
Luxembourg,12.86
Madagascar,4.7500553
Madeira,-1.0
Malawi,4.6855564
Malaysia,9.8116665
Maldives,5.151323
Mali,2.02
Malta,10.47
Marshall Islands,10.88
Martinique,-1.0
Mauritania,3.9579287
Mauritius,8.52
Mayotte,-1.0
Mexico,8.25
Micronesia,-1.0
Moldova,11.56
Monaco,-1.0
Mongolia,10.148006
Montenegro,11.28
Montserrat,-1.0
Morocco,4.468
Mozambique,2.62
Myanmar,3.9372408
Namibia,6.515999
Nauru,8.116158
Nepal,3.52
Netherlands,11.96
New Caledonia,-1.0
New Zealand,13.39
Nicaragua,8.27437
Niger,1.5851222
Nigeria,6.270922
Niue,-1.0
Norfolk Island,-1.0
North Korea,-1.0
North Macedonia,9.688048
Northern Mariana Islands,-1.0
Norway,12.61
Oman,8.276
Pakistan,4.79
Palau,12.703762
Palestinian Territory,-1.0
Panama,9.42
Papua New Guinea,4.207004
Paraguay,7.53
Peru,8.89
Philippines,8.99
Pitcairn,-1.0
Poland,12.55
Portugal,8.28
Puerto Rico,-1.0
Qatar,8.65
Réunion,-1.0
Romania,10.86
Russian Federation,-1.0
Rwanda,3.7678359
Saba,-1.0
Saint Barthelemy,-1.0
Saint Eustatius,-1.0
Saint Helena,-1.0
Saint Kitts and Nevis,9.861664
Saint Lucia,8.366667
Saint Martin,-1.0
Saint Pierre and Miquelon,-1.0
Saint Vincent and the Grenadines,10.303357
Samoa,11.68
San Marino,10.059835
Sao Tome and Principe,5.304494
Saudi Arabia,9.184444
Senegal,2.39
Serbia,10.57
Seychelles,10.809385
Sierra Leone,3.33915
Singapore,11.0
Sint Maarten,-1.0
Slovakia,12.5
Slovenia,12.21
Solomon Islands,5.5370493
Somalia,-1.0
South Africa,9.69
South Georgia and South Sandwich Islands,-1.0
South Korea,11.736
South Sudan,5.73
Spain,9.48
Sri Lanka,10.507143
Sudan,3.228
Suriname,8.0230255
Svalbard,-1.0
Sweden,12.28
Switzerland,13.33
Syria,6.3780026
Tajikistan,11.201177
Tanzania,5.335
Thailand,7.71
Timor-Leste,-1.0
Togo,3.64
Tokelau,-1.0
Tonga,10.92
Trinidad and Tobago,10.64
Tunisia,6.82
Turkiye,-1.0
Turkmenistan,10.849624
Turks and Caicos Islands,-1.0
Tuvalu,9.585258
Uganda,5.135
Ukraine,11.443548
United Arab Emirates,9.999091
United Kingdom,13.19
United States,13.1
United States Minor Outlying Islands,-1.0
Uruguay,8.4
US Virgin Islands,-1.0
Uzbekistan,11.075052
Vanuatu,6.1521015
Vatican City,-1.0
Venezuela,9.12
Vietnam,7.72
Wallis and Futuna,-1.0
Yemen,3.1197927
Zambia,6.3920126
Zimbabwe,7.7679996
