COUNTRY,AVG_YR_SCH
Afghanistan,1.6690171
Albania,9.214286
Algeria,6.23
American Samoa,-1.0
Andorra,10.44
Angola,3.707195
Anguilla,-1.0
Antarctica,-1.0
Antigua and Barbuda,10.126504
Argentina,10.299999
Armenia,10.91
Aruba,-1.0
Australia,11.71
Austria,11.53
Azerbaijan,10.58
Azores,-1.0
Bahamas,11.613999
Bahrain,8.133333
Bangladesh,4.88
Barbados,9.572071
Belarus,11.00546
Belgium,11.115001
Belize,9.014
Benin,2.5234168
Bermuda,-1.0
Bhutan,-1.0
Bolivia,7.0499997
Bonaire,-1.0
Bosnia and Herzegovina,6.7962227
Botswana,8.516
Bouvet Island,-1.0
Brazil,6.5
British Indian Ocean Territory,-1.0
British Virgin Islands,-1.0
Brunei Darussalam,-1.0
Bulgaria,10.54
Burkina Faso,0.98
Burundi,2.3761113
Cabo Verde,-1.0
Cambodia,3.93
Cameroon,3.49
Canada,13.368
Canarias,-1.0
Cayman Islands,-1.0
Central African Republic,3.0682354
Chad,1.648
Chile,9.81
China,6.778
Christmas Island,-1.0
Cocos Islands,-1.0
Colombia,7.19
Comoros,3.8157754
Congo,7.5296307
Congo DRC,-1.0
Cook Islands,-1.0
Costa Rica,8.01
Côte d'Ivoire,-1.0
Croatia,10.656
Cuba,10.835
Curacao,-1.0
Cyprus,11.19
Czech Republic,-1.0
Denmark,12.65
Djibouti,2.175971
Dominica,8.462527
Dominican Republic,7.17
Ecuador,7.72
Egypt,6.659091
El Salvador,5.63
Equatorial Guinea,7.0569363
Eritrea,4.695981
Estonia,13.22
Eswatini,5.04106
Ethiopia,2.02
Falkland Islands,-1.0
Faroe Islands,-1.0
Fiji,9.24
Finland,12.28
France,10.57
French Guiana,-1.0
French Polynesia,-1.0
French Southern Territories,-1.0
Gabon,7.18
Gambia,2.8623137
Georgia,12.21
Germany,13.68
Ghana,5.5803556
Gibraltar,-1.0
Glorioso Islands,-1.0
Greece,10.06
Greenland,-1.0
Grenada,8.860116
Guadeloupe,-1.0
Guam,-1.0
Guatemala,3.8416667
Guernsey,-1.0
Guinea,1.5392858
Guinea-Bissau,2.418591
Guyana,6.837247
Haiti,4.4536986
Heard Island and McDonald Islands,-1.0
Honduras,4.95
Hungary,11.32
Iceland,12.650001
India,4.742007
Indonesia,7.02
Iran,9.63
Iraq,6.1694436
Ireland,11.35
Isle of Man,-1.0
Israel,12.38
Italy,9.53
Jamaica,8.106
Japan,12.3965
Jersey,-1.0
Jordan,9.176001
Juan De Nova Island,-1.0
Kazakhstan,11.52
Kenya,6.1573052
Kiribati,8.111187
Kuwait,6.22
Kyrgyzstan,10.745999
Laos,4.7553983
Latvia,12.17
Lebanon,8.04
Lesotho,5.685
Liberia,3.9773717
Libya,6.788
Liechtenstein,11.5752325
Lithuania,12.16
Luxembourg,11.63
Madagascar,4.5672297
Madeira,-1.0
Malawi,4.077693
Malaysia,8.575
Maldives,4.0622644
Mali,1.556
Malta,9.86
Marshall Islands,-1.0
Martinique,-1.0
Mauritania,3.5757556
Mauritius,7.7127275
Mayotte,-1.0
Mexico,7.88
Micronesia,-1.0
Moldova,11.28
Monaco,-1.0
Mongolia,9.74
Montenegro,10.86
Montserrat,-1.0
Morocco,3.97
Mozambique,2.2397692
Myanmar,3.441887
Namibia,6.2320685
Nauru,7.6991706
Nepal,3.312
Netherlands,11.99
New Caledonia,-1.0
New Zealand,13.334
Nicaragua,7.654062
Niger,1.4352639
Nigeria,5.9338493
Niue,-1.0
Norfolk Island,-1.0
North Korea,-1.0
North Macedonia,8.546694
Northern Mariana Islands,-1.0
Norway,12.41
Oman,7.646
Pakistan,4.55
Palau,12.471286
Palestinian Territory,-1.0
Panama,8.86
Papua New Guinea,3.8292408
Paraguay,7.15
Peru,8.19
Philippines,8.6925
Pitcairn,-1.0
Poland,12.05
Portugal,7.67
Puerto Rico,-1.0
Qatar,9.48
Réunion,-1.0
Romania,10.59
Russian Federation,-1.0
Rwanda,3.3306715
Saba,-1.0
Saint Barthelemy,-1.0
Saint Eustatius,-1.0
Saint Helena,-1.0
Saint Kitts and Nevis,8.948614
Saint Lucia,8.098421
Saint Martin,-1.0
Saint Pierre and Miquelon,-1.0
Saint Vincent and the Grenadines,9.963823
Samoa,11.376
San Marino,9.659887
Sao Tome and Principe,5.0503645
Saudi Arabia,8.233334
Senegal,1.71
Serbia,9.816667
Seychelles,10.614103
Sierra Leone,3.2253501
Singapore,10.21
Sint Maarten,-1.0
Slovakia,11.604
Slovenia,11.75
Solomon Islands,5.370925
Somalia,-1.0
South Africa,9.08
South Georgia and South Sandwich Islands,-1.0
South Korea,11.055
South Sudan,-1.0
Spain,9.12
Sri Lanka,10.35
Sudan,3.01
Suriname,7.861296
Svalbard,-1.0
Sweden,12.4
Switzerland,12.273131
Syria,6.61
Tajikistan,11.055294
Tanzania,4.875
Thailand,7.1299996
Timor-Leste,-1.0
Togo,3.3090022
Tokelau,-1.0
Tonga,10.24
Trinidad and Tobago,10.130556
Tunisia,6.1423526
Turkiye,-1.0
Turkmenistan,10.874718
Turks and Caicos Islands,-1.0
Tuvalu,9.116206
Uganda,4.975
Ukraine,11.40294
United Arab Emirates,9.326364
United Kingdom,12.530024
United States,12.95
United States Minor Outlying Islands,-1.0
Uruguay,8.185
US Virgin Islands,-1.0
Uzbekistan,10.695213
Vanuatu,5.7614417
Vatican City,-1.0
Venezuela,7.99
Vietnam,7.119724
Wallis and Futuna,-1.0
Yemen,2.4022405
Zambia,6.0278196
Zimbabwe,7.3599997
