COUNTRY,AVG_YR_SCH
Afghanistan,2.8457184
Albania,10.121144
Algeria,7.2156105
American Samoa,-1.0
Andorra,11.26
Angola,5.8442917
Anguilla,-1.0
Antarctica,-1.0
Antigua and Barbuda,11.681411
Argentina,11.14
Armenia,11.33
Aruba,-1.0
Australia,12.64
Austria,12.310628
Azerbaijan,10.7475
Azores,-1.0
Bahamas,12.724569
Bahrain,11.0
Bangladesh,7.1
Barbados,9.891071
Belarus,12.237297
Belgium,12.533869
Belize,8.85
Benin,3.1138701
Bermuda,-1.0
Bhutan,5.8357944
Bolivia,9.83
Bonaire,-1.0
Bosnia and Herzegovina,10.54
Botswana,10.42
Bouvet Island,-1.0
Brazil,8.274219
British Indian Ocean Territory,-1.0
British Virgin Islands,-1.0
Brunei Darussalam,-1.0
Bulgaria,11.41
Burkina Faso,2.183275
Burundi,3.2915907
Cabo Verde,-1.0
Cambodia,4.997735
Cameroon,6.5374017
Canada,13.842
Canarias,-1.0
Cayman Islands,-1.0
Central African Republic,3.9531639
Chad,2.2833056
Chile,11.111555
China,7.95
Christmas Island,-1.0
Cocos Islands,-1.0
Colombia,8.86
Comoros,5.7257824
Congo,8.250552
Congo DRC,-1.0
Cook Islands,-1.0
Costa Rica,8.8
Côte d'Ivoire,-1.0
Croatia,11.950723
Cuba,10.547996
Curacao,-1.0
Cyprus,12.44
Czech Republic,-1.0
Denmark,12.96
Djibouti,3.8961513
Dominica,10.006335
Dominican Republic,9.150424
Ecuador,8.82
Egypt,9.852942
El Salvador,7.15
Equatorial Guinea,8.281327
Eritrea,5.0913644
Estonia,13.55
Eswatini,8.286079
Ethiopia,2.3910072
Falkland Islands,-1.0
Faroe Islands,-1.0
Fiji,10.435727
Finland,12.924697
France,11.687574
French Guiana,-1.0
French Polynesia,-1.0
French Southern Territories,-1.0
Gabon,9.55
Gambia,4.51242
Georgia,12.78
Germany,14.26
Ghana,6.7125263
Gibraltar,-1.0
Glorioso Islands,-1.0
Greece,11.41
Greenland,-1.0
Grenada,9.418825
Guadeloupe,-1.0
Guam,-1.0
Guatemala,5.7357664
Guernsey,-1.0
Guinea,2.3613849
Guinea-Bissau,3.673035
Guyana,8.627409
Haiti,5.3823
Heard Island and McDonald Islands,-1.0
Honduras,7.29709
Hungary,12.25
Iceland,13.77
India,6.49
Indonesia,8.56
Iran,10.73718
Iraq,6.749181
Ireland,11.650543
Isle of Man,-1.0
Israel,13.43709
Italy,10.74
Jamaica,9.683563
Japan,12.67
Jersey,-1.0
Jordan,10.45
Juan De Nova Island,-1.0
Kazakhstan,12.433761
Kenya,7.68636
Kiribati,9.128582
Kuwait,7.4488673
Kyrgyzstan,11.961875
Laos,5.9469705
Latvia,13.329481
Lebanon,10.37
Lesotho,7.544117
Liberia,5.85686
Libya,7.7786064
Liechtenstein,12.358923
Lithuania,13.5
Luxembourg,12.566043
Madagascar,4.7516804
Madeira,-1.0
Malawi,5.24374
Malaysia,10.796666
Maldives,7.2744026
Mali,1.63
Malta,12.21
Marshall Islands,11.542805
Martinique,-1.0
Mauritania,4.754063
Mauritius,9.991968
Mayotte,-1.0
Mexico,9.22
Micronesia,-1.0
Moldova,11.8
Monaco,-1.0
Mongolia,9.42
Montenegro,12.617428
Montserrat,-1.0
Morocco,6.05
Mozambique,3.86
Myanmar,6.38
Namibia,7.242285
Nauru,9.261119
Nepal,4.41849
Netherlands,12.58
New Caledonia,-1.0
New Zealand,12.94
Nicaragua,9.790079
Niger,1.3413525
Nigeria,7.38897
Niue,-1.0
Norfolk Island,-1.0
North Korea,-1.0
North Macedonia,10.23
Northern Mariana Islands,-1.0
Norway,13.058847
Oman,11.85
Pakistan,4.427089
Palau,13.23819
Palestinian Territory,-1.0
Panama,10.685866
Papua New Guinea,4.933631
Paraguay,8.86
Peru,10.021359
Philippines,8.89
Pitcairn,-1.0
Poland,13.16
Portugal,9.58
Puerto Rico,-1.0
Qatar,10.354
Réunion,-1.0
Romania,11.39
Russian Federation,-1.0
Rwanda,4.87831
Saba,-1.0
Saint Barthelemy,-1.0
Saint Eustatius,-1.0
Saint Helena,-1.0
